DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:55:46,41.0,10.0,18.0,1472.0,525.0,23.48,21.8,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:57:46,41.0,10.0,18.0,1483.0,523.0,22.11,21.8,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:59:47,41.0,10.0,19.0,1483.0,523.0,20.71,21.79,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:01:47,41.0,10.0,19.0,1476.0,523.0,22.08,21.8,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:03:47,41.0,10.0,18.0,1493.0,526.0,20.69,21.81,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:05:47,41.0,10.0,18.0,1494.0,525.0,20.69,21.82,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:07:47,41.0,10.0,18.0,1491.0,524.0,20.7,21.81,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:09:47,41.0,10.0,19.0,1482.0,526.0,20.68,21.81,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:11:47,41.0,10.0,18.0,1475.0,529.0,20.68,21.82,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:13:47,41.0,10.0,18.0,1488.0,529.0,22.04,21.83,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:15:47,41.0,10.0,18.0,1503.0,528.0,20.67,21.83,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:17:47,41.0,10.0,18.0,1493.0,522.0,20.66,21.83,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:19:47,41.0,10.0,18.0,1500.0,524.0,23.41,21.84,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:21:47,41.0,10.0,18.0,1472.0,524.0,20.64,21.82,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:23:47,41.0,10.0,19.0,1489.0,524.0,20.63,21.82,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:25:48,41.0,10.0,18.0,1477.0,524.0,23.39,21.81,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:27:48,41.0,10.0,18.0,1481.0,525.0,22.02,21.82,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:29:48,41.0,10.0,18.0,1491.0,523.0,20.63,21.81,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:31:48,41.0,10.0,18.0,1459.0,523.0,20.61,21.79,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:33:48,41.0,10.0,18.0,1468.0,523.0,20.62,21.8,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:35:48,41.0,10.0,18.0,1466.0,523.0,20.6,21.78,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 02:37:48,41.0,10.0,18.0,1483.0,523.0,20.61,21.79,0.0,36.0,0.0,0.0,0.0,0.0,0.0
