Time,Temperature,Humidity,TVOC,CO,CO2,CH2O,PM10
2022-07-16 08:03:55,22.57,39.62,1500.0,0.97,581.0,57.0,41.0
2022-07-16 08:05:56,23.94,39.54,1631.0,0.89,593.0,59.0,39.0
2022-07-16 08:07:55,22.55,39.48,1694.0,0.73,602.0,61.0,39.0
2022-07-16 08:09:56,22.55,39.39,1759.0,0.85,605.0,64.0,38.0
2022-07-16 08:11:56,22.58,39.32,1776.0,0.64,602.0,63.0,38.0
2022-07-16 08:13:56,22.57,39.32,1756.0,0.72,603.0,63.0,38.0
2022-07-16 08:15:56,22.59,39.27,1799.0,0.59,601.0,65.0,37.0
2022-07-16 08:17:56,22.6,39.24,1808.0,0.76,603.0,65.0,38.0
2022-07-16 08:19:56,22.61,39.35,1743.0,0.64,597.0,64.0,39.0
2022-07-16 08:21:56,22.63,39.36,1726.0,0.81,598.0,62.0,39.0
2022-07-16 08:23:56,22.63,39.34,1715.0,0.81,598.0,62.0,39.0
2022-07-16 08:25:56,24.01,39.38,1668.0,0.71,590.0,61.0,39.0
2022-07-16 08:27:56,22.64,39.41,1606.0,0.68,585.0,60.0,39.0
2022-07-16 08:29:56,22.65,39.4,1619.0,0.77,589.0,60.0,37.0
2022-07-16 08:31:56,22.65,39.38,1612.0,0.85,588.0,60.0,39.0
2022-07-16 08:33:56,22.66,39.36,1663.0,0.94,590.0,61.0,39.0
2022-07-16 08:35:56,22.66,39.41,1630.0,1.04,582.0,60.0,39.0
2022-07-16 08:37:57,24.04,39.47,1541.0,0.6,581.0,59.0,39.0
2022-07-16 08:39:57,24.05,39.46,1520.0,0.68,579.0,58.0,39.0
2022-07-16 08:41:57,22.68,39.31,1612.0,0.79,590.0,61.0,39.0
2022-07-16 08:43:57,22.68,39.24,1675.0,0.81,588.0,61.0,38.0
2022-07-16 08:45:57,22.69,39.32,1588.0,0.81,582.0,60.0,39.0
2022-07-16 08:47:57,22.7,39.42,1497.0,1.07,568.0,57.0,39.0
2022-07-16 08:49:57,22.71,39.28,1515.0,0.93,580.0,59.0,39.0
2022-07-16 08:51:57,22.71,39.18,1646.0,0.97,588.0,61.0,39.0
2022-07-16 08:53:57,22.72,38.99,1687.0,0.54,589.0,61.0,39.0
2022-07-16 08:55:57,22.73,38.9,1686.0,0.7,588.0,62.0,35.0
2022-07-16 08:57:57,22.75,38.89,1646.0,0.67,585.0,61.0,36.0
2022-07-16 08:59:57,22.76,38.85,1630.0,0.72,582.0,61.0,38.0
2022-07-16 09:01:57,22.79,38.83,1708.0,0.91,589.0,62.0,34.0
